IP,DNS,Tracking Method,Last Scanned Date,Tags
64.89.45.26,rest.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.97,suiteconnect.netsuite.com,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.98,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.99,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.101,None,IP,2021-01-19,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.20,testdrive.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
69.20.10.56,None,IP,2021-01-19,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.44.110,None,IP,2020-12-09,bo1_external_all|bo1_lightcms_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|OS:Windows 10|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.15,checkout.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.63,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|AI:New Asset|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.1,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.61,wild.na1.onlinecheckout.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.240,206-83-83-240.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.17,webservices.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.228,206-83-83-228.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.220,rest.api.source.na1.netsuite.com.45.89.64.in-addr.arpa,IP,2020-09-24,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
207.97.215.2,hp1.members.ordermotion.com,IP,2020-11-04,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|Internet Facing Assets
69.20.10.57,None,IP,2021-01-19,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.45.101,None,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.62,wild.na1.securedcheckout.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.22,debugger.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.23,forms.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.12,www.na1.netsuite.com,IP,2020-11-03,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.100,None,IP,2020-09-24,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.11,system.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.13,shopping.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.64,wild.na1.webstorecheckout.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.239,206-83-83-239.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.19,partners.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|AI:New Asset|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
206.83.83.230,206-83-83-230.sd.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.24,system2.na1.netsuite.com,IP,2021-01-19,bo1_external_all|all_external|LightCMS|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
207.97.227.196,ordermotion.com,DNS,2020-10-15,OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
167.216.128.79,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.195,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.12,www.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.15,checkout.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.22,debugger.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.55,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.62,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_du3|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.81,demo2.nspayroll.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.60,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.201,None,IP,2020-09-29,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.49,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
216.224.103.236,216-224-103-236.sd.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.80,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.20,testdrive.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.63,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.63,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_du3|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.52,shopping.sandbox.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.61,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_du3|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.11,system.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
216.224.100.6,216-224-100-6.sd.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.83,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.40,ens0.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.41,ens1.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.58,testdrive.sandbox.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.64,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_du3|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.199,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.53,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.17,webservices.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.4,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
216.224.103.225,216-224-103-225.sd.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.79,partners.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.82,prod2.nspayroll.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.23,forms.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.64,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.175,appmx2-sc9.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all|pci_nscore_ext_appmxmail
167.216.129.13,shopping.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.50,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.26,rest.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_eternal_netsuite_svale|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.198,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.207,None,IP,2020-09-28,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.51,www.sandbox.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.59,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_external_sandbox|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.19,partners.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.66,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.4,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.57,partners.sandbox.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|sc9_sandbox_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
216.224.103.249,216-224-103-249.sd.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.129.174,appmx1-sc9.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all|pci_nscore_ext_appmxmail
167.216.128.5,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.62,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
216.224.100.9,216-224-100-9.sd.netsuite.com,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
167.216.128.65,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
10.212.1.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.2.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.3.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.4.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.5.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.6.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.7.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.251.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.1.9,lcms-vmhost004.lcms.local,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.1.11,lcms-vmhost002.lcms.local,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.1.12,lcms-vmhost003.lcms.local,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.1.14,lcms-devenv.lcms.local,IP,2020-06-28,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.8.1,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.1.10,lcms-vmhost001.lcms.local,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.1.13,lcms-vmhost004.lcms.local,IP,2017-07-30,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.250.5,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.6,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.12,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.14,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.2.6,None,IP,2018-02-04,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.2.10,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.13,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.250.15,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.2.8,None,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.2.9,None,IP,2017-08-20,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.2.14,None,IP,2017-08-20,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.250.11,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.2.7,None,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.2.11,None,IP,2020-07-26,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.212.2.12,None,IP,2017-08-20,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
10.212.2.13,None,IP,2016-11-06,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Potentially Expired Host|Internal|AI:Stale Asset|AI:Internal
64.15.166.2,None,IP,2021-01-18,sc8_external_all|all_internal|all_external|Security|ITGI|BU:NetOps|SRE|NetOps_corp_itgi_network_devices|USSC8_office_network_internal_all|BU:DevOps|NSCore_Classic_external_all|Internet Facing Assets|itgi_external_all|USSC8_itgi_external_all
64.15.166.3,None,IP,2021-01-18,sc8_external_all|all_internal|all_external|Security|ITGI|BU:NetOps|SRE|NetOps_corp_itgi_network_devices|USSC8_office_network_internal_all|BU:DevOps|NSCore_Classic_external_all|Internet Facing Assets|itgi_external_all|USSC8_itgi_external_all
167.216.131.105,beartrap.netsuite.com,IP,2021-01-19,sc9_external_all|sc8_external_all|all_external|BU:NSCore|Security|ITGI|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all|itgi_external_all|USSC8_itgi_external_all
167.216.131.1,None,IP,2021-01-19,sc9_external_all|sc8_external_all|all_external|BU:NSCore|Security|ITGI|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all|itgi_external_all|USSC8_itgi_external_all
167.216.131.2,None,IP,2021-01-19,sc9_external_all|sc8_external_all|all_external|BU:NSCore|Security|ITGI|BU:NetOps|SRE|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all|itgi_external_all|USSC8_itgi_external_all
