IP,DNS,Tracking Method,Last Scanned Date,Tags
150.136.24.204,None,IP,2020-09-09,all_external|Security|Internet Facing Assets
172.24.242.42,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
10.16.56.86,elkcom-dms004.f.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
10.16.56.68,elkcom-dms003.f.ams.netledger.com,IP,2021-01-14,all_internal|BU:NSCore|Security|am3_qa_saops_internal_all|Internal|DC:AM3|AI:Internal
193.122.131.193,None,IP,2020-09-15,all_external|Security|Internet Facing Assets
167.216.128.229,None,IP,2021-01-19,sc9_external_all|all_external|BU:NSCore|Security|BU:OpenAir|BU:NetOps|SRE|sc9b_openair_external_all|NSCore_Classic_external_all|Internet Facing Assets|network_sc9_external_all
72.34.170.167,72-34-170-167.sd.netsuite.com,DNS,2021-01-15,all_external|BU:NSCore|Security|BU:NetOps|network_ch1_external_all|NSCore_Classic_external_all|Internet Facing Assets
172.24.242.72,None,IP,2020-12-21,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
172.24.242.74,None,IP,2021-01-18,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_user_scrumvms_internal|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
193.122.161.51,None,IP,2020-08-24,all_external|Security|AI:New Asset|Internet Facing Assets
193.122.165.215,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
212.25.248.28,None,IP,2021-01-14,all_external|BU:NSCore|Security|BU:NetOps|SRE|am3_external_all|pci_netsuite_am3|am3_netops_external_all|am3_external_all_1|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|Internet Facing Assets|network_am3_external_all
150.136.31.23,None,IP,2020-08-25,all_external|Security|AI:New Asset|Internet Facing Assets
172.25.164.10,pavels-mac-mini.corp.netledger.com,DNS,2020-12-08,all_internal|Security|ITGI|BU:NetOps|NetOps_corp_itgi_network_devices|CZBRN2_office_network_internal_all|BU:DevOps|Internal|AI:Internal
129.213.201.70,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
150.136.21.103,None,IP,2020-09-12,Security|Internet Facing Assets
150.136.23.47,None,IP,2020-08-28,all_external|Security|AI:New Asset|Internet Facing Assets
193.122.168.93,None,IP,2020-08-28,all_external|Security|AI:New Asset|Internet Facing Assets
150.136.191.203,None,IP,2020-09-18,all_external|Security|Internet Facing Assets
172.25.16.45,brno-bst01.corp.netledger.com,IP,2021-01-13,brno_internal_all|all_internal|Security|ITGI|BU:NetOps|SRE|ITGI Systems|CZBRN1_office_internal_all|BU:DevOps|corp_itgi_linux_servers|Internal|AI:Internal
