IP,DNS,Tracking Method,Tags
10.200.4.136,replication34,IP,all_internal|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_internal_all|Internal|AI:Internal
10.200.104.82,iloreplication34,IP,all_internal|Security|BU:OpenAir|BU:NetOps|SRE|bo1_openair_internal_all|openair_pentest_2018_SSL Medium Strength Cipher Suites Supported|Internal|AI:Internal
10.8.5.143,db067.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.5.144,db068.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.1.240.241,dpeykov-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.240.161,prozkos-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.242.129,dmiljkovic-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.243.149,mdrozd-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.243.97,arehman-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.8.7.77,backend013.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.81,partners013.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.76,backend011.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.74,acct012.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.82,acct013.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.84,backend012.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.80,partners011.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.78,shop021.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.70,shop020.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.75,acct014.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.79,shop023.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.85,backend014.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.83,acct015.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_java_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.212.6.211,lcms-test001.lcms.local,DNS,bo1_lightcms_internal_all|all_internal|LightCMS|Security|BU:NetOps|SRE|Internal|AI:Internal
10.8.184.242,pdu-ch1-01-07c.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.135.204,fs006-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.184.241,pdu-ch1-01-07b.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.182.239,ch1-tsensor001.gear.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.184.247,pdu-ch1-01-08d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.184.245,pdu-ch1-01-08b.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.184.243,pdu-ch1-01-07d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.184.244,pdu-ch1-01-08a.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|PCI:CDE|DC:CH1|CDE:ILO|AI:Internal
10.8.200.171,ldap-s-vip.adm.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|Internal|DC:CH1|AI:Internal
10.8.6.137,db075.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.144,db082.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.136,db074.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.148,db086.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.204,fs006.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_nfs_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.7.200,fs005.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_nfs_saops_internal_all|Internal|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.135,db073.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.147,db085.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.142,db080.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.143,db081.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.139,db077.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.141,db079.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.18.187.1,available-10.18.187.1.ips.dub.netledger.com,IP,all_internal|BU:NSCore|Security|BU:NetOps|SRE|du3_internal_all|du3_netops_internal_all|network_du3_internal_all|Internal|AI:No DNS Record|PCI:CDE|DC:DU3|CDE:ILO|AI:Internal
40.143.37.102,None,IP,all_external|Security|bronto_external_dev|BU:Bronto|Internet Facing Assets
10.1.27.152,db105.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.153,db106.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.143,db096.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.145,db098.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.144,db097.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.151,db104.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.27.154,db107.prod.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_beta_prod_saops_internal_all|Internal|PCI:DB|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.240.13,wtang-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.8.6.140,db078.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.1.243.89,afinley-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.8.6.145,db083.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.8.6.138,db076.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|CDE:IPAddress|PCI:CDE|DC:CH1|AI:Internal
10.2.196.171,available-10.2.196.171.ips.bos.netledger.com,IP,all_internal|BU:NSCore|Security|bo1_dmz_saops_internal_all|Internal|AI:No DNS Record|DC:BO1|AI:Internal|DC:BO1-New
172.26.230.170,None,IP,all_internal|Security|BU:Payroll|ITGI|du3b_corpIT_internal_all|se4b_devops_internal_all|BU:DevOps|Internal|AI:Internal|du3b_devops_internal_all|DevOps Asset
10.1.242.65,dleska-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
172.24.249.101,None,IP,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_infra_vm|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
172.24.249.102,None,IP,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_infra_vm|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
172.24.249.103,None,IP,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_infra_vm|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
10.3.251.20,smsgateway002.adm.sea.netledger.com,IP,all_internal|BU:NSCore|Security|BU:NetOps|SRE|se4_netops_internal_all|Internal|DC:SE4|AI:Internal|DC:SE4new
185.72.130.46,185-72-130-46.sd.netsuite.com,IP,all_external|BU:NSCore|Security|BU:NetOps|SRE|network_du3_external_all|NSCore_Classic_external_all|Internet Facing Assets
10.1.30.226,available-10.1.30.226.ips.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
206.83.83.75,206-83-83-75.sd.netsuite.com,DNS,bo1_external_all|all_external|BU:NSCore|Security|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
185.72.130.44,185-72-130-44.sd.netsuite.com,IP,all_external|BU:NSCore|Security|BU:NetOps|SRE|network_du3_external_all|AI:New Asset|NSCore_Classic_external_all|Internet Facing Assets
172.24.249.68,None,IP,all_internal|Security|BU:Payroll|ITGI|se4b_devops_internal_all|BU:DevOps|se4b_devops_infra_vm|Internal|AI:Internal|CDE:ConnectedTo|DevOps Asset
10.1.30.66,available-10.1.30.66.ips.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_java_saops_internal_all|Internal|AI:No DNS Record|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
172.26.230.87,None,IP,all_internal|Security|BU:Payroll|ITGI|du3b_corpIT_internal_all|se4b_devops_internal_all|BU:DevOps|Internal|AI:Internal|du3b_devops_internal_all|DevOps Asset
10.1.243.13,jodufek-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.243.221,smcghee-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.242.145,athind-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.8.6.146,db084.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.2.65.180,cas003.f.bos.netledger.com,IP,bo1_qa_saops_internal_all|all_internal|BU:NSCore|Security|BU:NetOps|SRE|Internal|AI:Internal
185.72.130.45,185-72-130-45.sd.netsuite.com,IP,all_external|BU:NSCore|Security|BU:NetOps|SRE|network_du3_external_all|NSCore_Classic_external_all|Internet Facing Assets
10.1.57.58,nsamon001.adm.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|NSCore_pentest_tlsv1.0|sc9_NSCore_pentest_tlsv1.0_adhoc|nscore_pentest_selfsigned_internal_all|Internal|DC:SC9|CDE:IPAddress|PCI:CDE|AI:Internal
10.1.166.35,qa-db022-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.25,qa-db020-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.71,ops-ci-db004-console.f.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.26,qa-db021-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.60,qa-db024-console.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.240.57,ojanas-tcp.vpn.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_prod_admin_saops_internal_all|Internal|DC:SC9|AI:Internal
10.8.135.140,db092-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.141,db093-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.136,db088-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.142,db094-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.135,db087-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.137,db089-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.138,db090-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.1.30.152,available-10.1.30.152.ips.svale.netledger.com,DNS,all_internal|BU:NSCore|Security|sc9_prod_db_saops_internal_all|Internal|AI:No DNS Record|AI:Internal
10.8.135.147,db099-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.143,db109-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.147,db113-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.141,db107-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.148,db100-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.145,db097-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.145,db111-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.148,db114-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.144,db110-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.137,db103-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.139,db105-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.136,db102-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.144,db096-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.146,db098-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.135.143,db095-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.138,db104-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.142,db108-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.140,db106-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.146,db112-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.136.135,db101-console.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|Internal|AI:Internal
10.8.7.145,db097.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.146,db098.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.143,db095.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.144,db096.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.142,db094.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.148,db100.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.139,rman001.prod.chi.netledger.com,DNS,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|AI:Internal
10.8.7.138,db090.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.147,db099.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.141,db093.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.140,db092.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.137,db089.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.135,db087.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.8.7.136,db088.prod.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_db_saops_internal_all|Internal|PCI:DB|AI:Internal
10.1.66.26,qa-db021.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.165.21,hyp010-console.m.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.165.68,hyp012-console.m.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.1.166.93,hyp013-console.m.svale.netledger.com,IP,all_internal|BU:NSCore|Security|sc9_qa_saops_internal_all|Internal|DC:SC9|AI:Internal
10.3.251.18,ntp002.adm.sea.netledger.com,IP,all_internal|BU:NSCore|Security|BU:NetOps|SRE|se4_netops_internal_all|Internal|AI:Internal
10.8.130.237,pdu-ch1-02-05b.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.131.239,pdu-ch1-02-06d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.130.238,pdu-ch1-02-05c.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.182.236,pdu-ch1-01-05b.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.130.236,pdu-ch1-02-05a.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.131.236,pdu-ch1-02-06a.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.182.237,pdu-ch1-01-05c.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.182.232,pdu-ch1-01-06b.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.182.238,pdu-ch1-01-05d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.131.238,pdu-ch1-02-06c.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.130.239,pdu-ch1-02-05d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|nscore_pentest_telnet_internal_all|Internal|AI:Internal
10.8.182.234,pdu-ch1-01-06d.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.182.231,pdu-ch1-01-06a.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.182.233,pdu-ch1-01-06c.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
10.8.182.235,pdu-ch1-01-05a.chi.netledger.com,IP,all_internal|BU:NSCore|Security|ch1_internal_all|ch1_prod_ilo_saops_internal_all|pdu_netsuite_all|Internal|AI:Internal
