IP,DNS,Tracking Method,Tags
206.83.83.228,206-83-83-228.sd.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.62,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.220,rest.api.source.na1.netsuite.com.45.89.64.in-addr.arpa,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
207.97.215.2,hp1.members.ordermotion.com,IP,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|Internet Facing Assets
69.20.10.57,None,IP,omx_ordermotion_external_all|all_external|OrderMotion|Security|BU:NetOps|SRE|pci_omx|Internet Facing Assets
64.89.45.101,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.66,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.106,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.62,wild.na1.securedcheckout.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.242,appmx1001-bo1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.22,debugger.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|nscore_pci_jquery_external_all|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.23,forms.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.12,www.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.5,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|pci_netsuite_2019|pci_netsuite_netops_external_all|pci_netsuite_2019_added|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.104,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.100,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.44.63,None,IP,bo1_external_all|all_external|BU:NSCore|BU:OpenAir|BU:NetOps|SRE|pci_netsuite|bo1_openair_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.2,None,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
64.89.45.11,system.na1.netsuite.com,IP,bo1_external_all|all_external|BU:NSCore|BU:NetOps|SRE|pci_netsuite|pci_netsuite_external_bo2|pci_netsuite_2019|NSCore_2020_pci_external_pentest|NSCore_Classic_external_all|bo2_external_all|Internet Facing Assets|network_bo1_external_all
